job_id,source_id,job_title,company_name,level,experience_raw,updated_at,deadline,location,job_url,skills_raw
ITV_1127,ITV,"JAVA Software Engineer JEE, SQL, English",Swisslog Vietnam,,3+ year,12/08/2026,16/09/2026,"324-326-328 Lê Văn Sỹ, Tân Sơn Hòa, TP Hồ Chí Minh",https://itviec.com/viec-lam-it/java-software-engineer-jee-sql-english-swisslog-vietnam-1127,Java | English
ITV_3501,ITV,Developer Manager Java Full Stack,Nakivo,Manager,6+ year,12/08/2026,16/09/2026,"TGI Building, 208 Nguyen Trai, TP Hồ Chí Minh",https://itviec.com/viec-lam-it/developer-manager-java-full-stack-nakivo-3501,Spring Boot | Agile | Java | English
ITV_0850,ITV,Middle/Senior Back End Developer Java,Persol Career Tech Studio Vietnam,Middle | Senior,3 year,05/08/2026,09/09/2026,"4th Floor An Phu Plaza, Xuan Hoa Ward, TP Hồ Chí Minh",https://itviec.com/viec-lam-it/middle-senior-back-end-developer-java-persol-career-tech-studio-vietnam-0850,Java | Spring | JavaScript | SQL
ITV_4106,ITV,"Solution Architect Java, Backbase, Cloud",ABBANK,,"Hiểu biết sâu về kiến trúc phần mềm: monolith, microservices, event-driven, domain-driven design.",12/08/2026,16/09/2026,"36 Hoàng Cầu, Ô Chợ Dừa, Hà Nội",https://itviec.com/viec-lam-it/solution-architect-java-backbase-cloud-abbank-4106,Java | Kubernetes | API | Docker | Solution Architecture | Cloud
ITV_4603,ITV,Java Backend Developer Junior/Middle,CESA Vietnam (part of CEVA Logistic),Junior | Middle,1 year,11/08/2026,15/09/2026,"Lầu 6, tòa nhà E-town 2, số 364 đường Cộng Hòa, phường 13, TP Hồ Chí Minh",https://itviec.com/viec-lam-it/java-backend-developer-junior-middle-cesa-vietnam-part-of-ceva-logistic-4603,Java | Kubernetes | PostgreSql | Kafka | Spring Boot | English
ITV_1502,ITV,Senior Backend Engineer Java,TIKI,Senior,4+ year,11/08/2026,15/09/2026,"Halo building, 208 Cô Bắc street, Cầu Ông Lãnh ward, TP Hồ Chí Minh",https://itviec.com/viec-lam-it/senior-backend-engineer-java-tiki-1502,Java | Golang | MySQL | Python | CI/CD | Microservices
ITV_1609,ITV,"Senior Backend Engineer Python, Java, PHP",ITviec Recruitment Consulting,Senior,5+ year,11/08/2026,15/09/2026,"City, TP Hồ Chí Minh",https://itviec.com/viec-lam-it/senior-backend-engineer-python-java-php-itviec-recruitment-consulting-1609,PHP | Design Systems | Kubernetes | Java | Python
ITV_0408,ITV,Senior Fullstack Engineer Python/Java/Golang,ITviec Recruitment Consulting,Senior,5+ year,11/08/2026,15/09/2026,"City, TP Hồ Chí Minh",https://itviec.com/viec-lam-it/senior-fullstack-engineer-python-java-golang-itviec-recruitment-consulting-0408,Python | Angular | ReactJS | Java | Golang | JavaScript
ITV_1316,ITV,"Back End Developer Java, MySQL, Spring",LG CNS Việt Nam,,,04/08/2026,08/09/2026,"Tầng 15, tòa Keangnam Landmark 72, Mễ Trì, Yên Hòa, Hà Nội",https://itviec.com/viec-lam-it/back-end-developer-java-mysql-spring-lg-cns-viet-nam-1316,Java | MySQL | Spring
ITV_1154,ITV,"Sr Java Fullstack Developer VueJS, Angular - 4B059",TNEX,,4+ year,28/07/2026,01/09/2026,"Số 54A Nguyễn Chí Thanh, Phường Láng, Hà Nội",https://itviec.com/viec-lam-it/sr-java-fullstack-developer-vuejs-angular-4b059-tnex-1154,Java | Spring | MySQL | NextJS | Angular | VueJS
